,date,Temperature,CloudOpacity,DHI,DNI,Radiation,Precipitation,Humidity,Pressure,WindDirection,WindSpeed,Sunrise,Sunset,Month
853,2021-05-02,36.43571428571429,38.97142857142858,251.35714285714286,115.5,351.85714285714283,28.649999999999995,17.642857142857142,981.5428571428572,178.71428571428572,2.278571428571429,9,16,5
854,2021-05-03,35.68571428571428,22.614285714285717,217.28571428571428,280.85714285714283,449.92857142857144,29.092857142857145,19.042857142857144,980.1214285714285,249.5,2.642857142857143,9,16,5
855,2021-05-04,37.050000000000004,37.05714285714286,208.64285714285714,190.35714285714286,370.2142857142857,27.199999999999996,16.064285714285713,978.5714285714287,300.14285714285717,2.328571428571429,9,16,5
856,2021-05-05,35.41428571428571,17.835714285714285,212.07142857142858,328.2142857142857,481.2857142857143,28.721428571428568,23.47857142857143,979.2285714285714,127.85714285714286,2.9214285714285713,9,16,5
857,2021-05-06,35.49999999999999,47.26428571428571,177.57142857142858,188.07142857142858,350.42857142857144,29.728571428571435,25.607142857142854,980.9499999999999,117.07142857142857,2.55,9,16,5
858,2021-05-07,32.021428571428565,19.735714285714288,240.42857142857142,251.0,446.14285714285717,33.528571428571425,35.042857142857144,983.1857142857144,141.0,2.2,9,16,5
859,2021-05-08,34.38571428571428,12.057142857142859,230.14285714285714,314.2857142857143,479.2857142857143,28.835714285714285,26.185714285714283,982.1142857142858,191.28571428571428,1.6214285714285714,9,16,5
860,2021-05-09,36.364285714285714,34.40714285714286,226.07142857142858,182.92857142857142,387.14285714285717,27.892857142857142,19.485714285714284,979.8000000000001,171.42857142857142,2.257142857142857,9,16,5
861,2021-05-10,33.728571428571435,41.08571428571429,204.5,147.5,318.0,32.15714285714285,27.185714285714287,978.8000000000001,159.42857142857142,2.8857142857142857,9,16,5
862,2021-05-11,34.800000000000004,22.23571428571429,255.5,251.85714285714286,447.07142857142856,31.471428571428568,25.614285714285707,977.5214285714284,179.28571428571428,2.9785714285714278,9,16,5
863,2021-05-12,32.05,13.671428571428574,254.0,240.64285714285714,452.5,36.84285714285715,37.10000000000001,976.6785714285713,121.92857142857143,3.4714285714285715,9,16,5
864,2021-05-13,31.88571428571429,31.54285714285714,241.71428571428572,191.21428571428572,389.0,32.92857142857143,35.17857142857143,978.0071428571428,107.42857142857143,3.2642857142857147,9,16,5
865,2021-05-14,33.99285714285714,21.964285714285715,214.85714285714286,292.07142857142856,454.7857142857143,33.114285714285714,31.764285714285716,977.7000000000002,179.07142857142858,2.135714285714286,9,16,5
